# Photometry of EPIC-245950175
# 
# Description
# 
#     This photometry was produced by Erik Petigura using the `k2phot`
#     code. We used a stationary 36.0 pixel aperture to
#     construct simple aperture photometry from the K2 target pixel
#     file. We then modeled time- and position-dependent photometric
#     variability. The size and shape of the aperture was chosen to
#     minimize noise on three-hour timescales.
# 
# Attribution
# 
#     If you use this photometry, please cite
# 
#     1. Petigura et al. 2015, ApJ, 811, 102
#     2. Aigrain et al. 2016, MNRAS, 459, 2408
# 
# Code Availability
# 
#     Public URL: https://github.com/petigura/k2phot
#     Version: v1.0
#     Git SHA: 0e63443fee2083618488daec2635a9d1af284731
# 
# Column Description
# 
#     t (float): Time [BJD_TDB]
#     cad (int): Unique cadence number
#     fbg (float): Background flux [e-/s/pixel]
#     fsap (float): Simple aperture photometry [e-/s]
#     fdt_t_rollmed (float): Flux after removing variability associated with
#          pixel position [e-/s]
#     fdt_t_roll_2D (float): Flux after removing variability associated with
#          pixel position and time [e-/s]
#     bgmask (bool): Outlier in background flux
#     thrustermask (bool): Thruster fire
#     fdtmask (bool): Observation excluded from Gaussian process model
#     fmask (bool): Observation ignored in transit search
#
t,cad,fsap,fbg,fdt_t_rollmed,fdt_t_roll_2D,bgmask,thrustermask,fdtmask,fmask
2457738.376807,136855,169449.759827,252.046448,169242.277632,169101.168096,False,False,False,False
2457738.397239,136856,169424.300903,250.205795,169283.891659,169145.569669,False,False,False,False
2457738.417672,136857,169316.743896,250.819351,169253.422181,169117.847921,False,False,False,False
2457738.438104,136858,169235.326141,251.432907,169244.767276,169111.900016,False,False,False,False
2457738.458537,136859,169171.763855,250.819351,169246.430541,169116.228638,False,False,False,False
2457738.478969,136860,169182.317719,250.819351,169310.673456,169183.094364,False,False,False,False
2457738.499402,136861,169185.074097,250.205795,169365.532293,169240.532569,False,False,False,False
2457738.519834,136862,169207.224640,250.205795,169401.416864,169278.952170,False,False,False,False
2457738.540267,136863,169207.776489,250.205795,169395.477729,169275.502845,False,False,False,False
2457738.560699,136864,169416.690033,252.046448,169372.329934,169254.798773,False,True,True,True
2457738.581132,136865,169395.894928,252.046448,169306.977575,169191.843146,False,False,False,False
2457738.601564,136866,169329.263000,251.432907,169324.187174,169211.401657,False,False,False,False
2457738.621997,136867,169165.197418,252.046448,169257.782659,169147.297383,False,False,False,False
2457738.642429,136868,169043.961060,252.046448,169223.291155,169115.056567,False,False,False,False
2457738.662861,136869,168862.841553,252.660004,169101.765572,168995.731317,False,False,False,False
2457738.683294,136870,168866.338531,252.660004,169119.123404,169015.238296,False,False,False,False
2457738.703726,136871,168925.789459,251.432907,169163.504395,169061.716400,False,False,False,False
2457738.724159,136872,168986.038422,250.205795,169186.631581,169086.887896,False,False,False,False
2457738.744591,136873,169064.329041,249.592255,169221.143071,169123.390062,False,False,False,False
2457738.765024,136874,169174.091797,248.365158,169284.636034,169188.819279,False,False,False,False
2457738.785456,136875,169263.307587,248.365158,169349.731882,169255.796208,False,False,False,False
2457738.805889,136876,169118.076630,252.046448,169347.919441,169255.808875,False,True,True,True
2457738.826321,136877,169026.167572,252.046448,169241.724133,169151.381948,False,False,False,False
2457738.846754,136878,168938.857208,253.273560,169210.188175,169121.556922,False,False,False,False
2457738.867186,136879,168996.532806,251.432907,169292.774882,169205.796340,False,False,False,False
2457738.887619,136880,168947.570374,253.273560,169240.627398,169155.242657,False,False,False,False
2457738.908051,136881,169056.414673,250.819351,169326.354535,169242.503948,False,False,False,False
2457738.928483,136882,169099.915619,250.819351,169325.600983,169243.224202,False,False,False,False
2457738.948916,136883,169130.900391,250.205795,169314.347797,169233.383803,False,False,False,False
2457738.969348,136884,169083.345917,252.046448,169239.011772,169159.398867,False,False,False,False
2457738.989781,136885,169136.854187,249.592255,169289.399956,169211.075769,False,False,False,False
2457739.010213,136886,169018.313568,250.205795,169197.291905,169120.193420,False,False,False,False
2457739.030646,136887,168949.289154,249.592255,169218.016220,169142.079786,False,False,False,False
2457739.051078,136888,168882.412323,254.500656,169199.278665,169124.440007,False,True,True,True
2457739.071511,136889,168883.454315,255.114197,169185.212860,169111.407096,False,False,False,False
2457739.091943,136890,168815.905701,255.114197,169138.217981,169065.379633,False,False,False,False
2457739.112376,136891,168860.814301,253.887100,169193.827632,169121.890643,False,False,False,False
2457739.132808,136892,168903.150726,253.887100,169219.973756,169148.871505,False,False,False,False
2457739.153240,136893,168927.693634,253.273560,169218.041462,169147.706765,False,False,False,False
2457739.173673,136894,169036.717255,252.046448,169289.138578,169219.503728,False,False,False,False
2457739.194105,136895,169041.137634,252.660004,169263.018522,169194.015288,False,False,False,False
2457739.214538,136896,169007.450409,253.273560,169212.915557,169144.475193,False,False,False,False
2457739.234970,136897,168990.826721,252.046448,169203.143222,169135.196503,False,False,False,False
2457739.255403,136898,168921.187469,253.273560,169179.771890,169112.249112,False,False,False,False
2457739.275835,136899,168902.413086,250.819351,169232.844650,169165.675646,False,False,False,False
2457739.296268,136900,168997.269836,255.727753,169281.236974,169214.351141,False,True,True,True
2457739.316700,136901,168968.860107,256.341309,169205.201355,169138.527662,False,False,False,False
2457739.337132,136902,168892.351562,256.954865,169180.956930,169114.423934,False,False,False,False
2457739.357565,136903,168847.502106,255.727753,169173.302034,169106.837900,False,False,False,False
2457739.377997,136904,168832.895905,256.341309,169178.568555,169112.101074,False,False,False,False
2457739.398430,136905,168847.746826,256.341309,169196.324040,169129.780640,False,False,False,False
2457739.418862,136906,168915.542786,253.887100,169249.990057,169183.297828,False,False,False,False
2457739.439295,136907,168947.880035,253.887100,169254.375325,169187.461031,False,False,False,False
2457739.459727,136908,168942.482208,255.114197,169216.107602,169148.897700,False,False,False,False
2457739.480160,136909,168980.826202,253.887100,169231.504632,169163.925291,False,False,False,False
2457739.500592,136910,169025.366302,252.660004,169269.987391,169201.964507,False,False,False,False
